name,description,price,quantity
Laptop Pro X,High-performance laptop with latest specs,1299.99,15
Office Chair Deluxe,Ergonomic office chair with lumbar support,199.99,25
Python Programming Guide,Comprehensive guide to Python programming,49.99,50
Designer T-Shirt,Premium cotton t-shirt,29.99,100
Professional Basketball,Official size basketball,39.99,30
Organic Coffee Beans,Premium organic coffee beans,15.99,200
Remote Control Drone,HD camera drone with remote control,299.99,10
Power Tool Set,Complete set of power tools,499.99,8
Skincare Package,Complete skincare routine package,89.99,40
Car Battery,High-performance car battery,159.99,20